mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
161.2515210310618,211.40414745366968,2.6437443097432456,1.902772276327682,[1e-05],0.01,"{'alphas': [1e-05], 'l1_ratio': 0.01}",0.5,0.775567774749359,0.35038897341900893,0.5419855827227893,0.1760991106216562,66
158.52324724197388,206.99383099482674,2.389828681945801,1.6976742840862766,[1e-05],0.11888888888888888,"{'alphas': [1e-05], 'l1_ratio': 0.11888888888888888}",0.5,0.7755677491011086,0.35042486842566384,0.5419975391755908,0.1760860816378509,65
155.53778330485025,202.97768874601624,2.264240026473999,1.6351903179332419,[1e-05],0.22777777777777777,"{'alphas': [1e-05], 'l1_ratio': 0.22777777777777777}",0.5,0.7755673330294909,0.3504601702207039,0.5420091677500649,0.1760730958042217,64
156.71307452519736,203.69735404575113,2.3705879052480063,1.757496274735401,[1e-05],0.33666666666666667,"{'alphas': [1e-05], 'l1_ratio': 0.33666666666666667}",0.5,0.7755675781127725,0.35050722216888386,0.5420249334272188,0.17605614222165603,63
162.62951827049255,213.20732444976608,2.7173006534576416,1.9840637704774469,[1e-05],0.44555555555555554,"{'alphas': [1e-05], 'l1_ratio': 0.44555555555555554}",0.5,0.7755677006544134,0.35055583129755274,0.542041177317322,0.17603857099363798,62
165.44364698727927,217.27328066606765,2.3130710124969482,1.6387980324081743,[1e-05],0.5544444444444444,"{'alphas': [1e-05], 'l1_ratio': 0.5544444444444444}",0.5,0.7755682221688384,0.3505968769781326,0.5420550330489903,0.17602391960916988,61
163.94267137845358,213.6947246572762,2.111198663711548,1.496618048332612,[1e-05],0.6633333333333333,"{'alphas': [1e-05], 'l1_ratio': 0.6633333333333333}",0.5,0.775569353541662,0.30757828294259243,0.5277158788280848,0.19205908464936103,72
161.6974036693573,209.84997458057174,2.5650755564371743,1.8143689542424355,[1e-05],0.7722222222222221,"{'alphas': [1e-05], 'l1_ratio': 0.7722222222222221}",0.5,0.7755702227323703,0.3076491774345222,0.5277398000556309,0.19203237320566982,71
161.68958353996277,210.58688230862785,2.837301333745321,2.015660732186745,[1e-05],0.8811111111111111,"{'alphas': [1e-05], 'l1_ratio': 0.8811111111111111}",0.5,0.7755707641954346,0.30765751091691895,0.5277427583707844,0.19202942245037327,70
167.7926685810089,216.01542148777796,1.9265309969584148,1.372283641853448,[1e-05],0.99,"{'alphas': [1e-05], 'l1_ratio': 0.99}",0.5,0.7755714082515004,0.30766501732542967,0.52774547519231,0.1920268318275696,69
315.4137165546417,219.03464089196953,3.84999418258667,0.6623927058116471,[4.641588833612782e-05],0.01,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.01}",0.31524265149506825,0.7755605162944931,0.3507548994259902,0.4805193557385172,0.20912873986285688,94
310.55790607134503,215.62804874142026,3.7575275897979736,1.0463848523973076,[4.641588833612782e-05],0.11888888888888888,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.11888888888888888}",0.31523815509219055,0.7755664068426705,0.3508441321423591,0.4805495646924068,0.2091142419263683,93
307.1865959962209,213.4835520886151,3.3709264596303306,0.44002306266414404,[4.641588833612782e-05],0.22777777777777777,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.22777777777777777}",0.31523969769546495,0.7755716903822549,0.35093201302072113,0.48058113369948036,0.20909815357439085,92
313.8881051540375,218.4436118750551,4.089516560236613,0.5068174837928107,[4.641588833612782e-05],0.33666666666666667,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.33666666666666667}",0.31524205730714033,0.7755767573366137,0.3510742469132918,0.48063102051901535,0.20907052590477665,91
320.9562514623006,223.43119159541945,3.933462619781494,0.1408452123379674,[4.641588833612782e-05],0.44555555555555554,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.44555555555555554}",0.31523930918797366,0.7755584558850435,0.3078386572098392,0.46621214076095213,0.21876174166288093,100
316.38557410240173,220.28907260688587,3.6958096027374268,0.7019791505189282,[4.641588833612782e-05],0.5544444444444444,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.5544444444444444}",0.3152442797985246,0.7755616562167335,0.30788629666567613,0.466230744226978,0.21875061114315567,99
319.23063532511395,222.626593462177,3.7008848985036216,0.508026132580799,[4.641588833612782e-05],0.6633333333333333,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.6633333333333333}",0.31525002171071276,0.7755649676908419,0.3079314834196441,0.4662488242737329,0.21873994862165227,98
317.65353806813556,221.02044337867335,2.8317888577779136,0.6667428454413309,[4.641588833612782e-05],0.7722222222222221,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.7722222222222221}",0.31525606643021037,0.7755684843509537,0.3079775086554138,0.4662673531455259,0.21872911203059398,97
314.66671204566956,219.13963612819273,3.3735975424448648,0.4861844876397772,[4.641588833612782e-05],0.8811111111111111,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.8811111111111111}",0.3153240438145037,0.7755715792398364,0.308040406198459,0.466312009750933,0.21869975435830874,96
310.09169840812683,216.33487073433923,3.009775002797445,0.1413748118521111,[4.641588833612782e-05],0.99,"{'alphas': [4.641588833612782e-05], 'l1_ratio': 0.99}",0.31565341818032233,0.7755760363357965,0.3082599287196924,0.4664964610786037,0.21857310569917812,95
237.59535916646323,189.92910171275963,2.1884102821350098,1.556963212495979,[0.00021544346900318823],0.01,"{'alphas': [0.00021544346900318823], 'l1_ratio': 0.01}",0.3164682040898412,0.7755573672593039,0.5,0.530675190449715,0.18867333395184052,67
