mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
155.90185070037842,200.32979798667728,2.08924667040507,1.4823855773522343,[1e-05],{'alphas': [1e-05]},0.5,0.7755714082515004,0.30766501732542967,0.52774547519231,0.1920268318275696,75
151.38814385732016,195.40834295465086,2.329734722773234,1.6794073638508584,[1.1497569953977357e-05],{'alphas': [1.1497569953977357e-05]},0.5,0.7755732663247523,0.30769004058845134,0.5277544356377345,0.1920180716400212,74
153.17402529716492,197.58095683160113,2.4932740529378257,1.8058070893511482,[1.3219411484660286e-05],{'alphas': [1.3219411484660286e-05]},0.5,0.7755739445784854,0.3077193874515118,0.527764444009999,0.19200715250480893,73
154.3711601893107,200.3080372321128,1.793054183324178,1.29291677318577,[1.5199110829529332e-05],{'alphas': [1.5199110829529332e-05]},0.5,0.7755775096852923,0.30775289820379176,0.5277768026296947,0.19199588511250437,72
151.40926925341287,194.74741518914522,2.065609931945801,1.5249572949085424,[1.747528400007683e-05],{'alphas': [1.747528400007683e-05]},0.5,0.7755791141258457,0.3077891126320854,0.5277894089193104,0.191982741950844,71
151.6735581556956,196.47522238324905,2.0875657399495444,1.530493907200655,[2.0092330025650458e-05],{'alphas': [2.0092330025650458e-05]},0.5,0.7755588007115213,0.3078270895833501,0.5277952967649572,0.19195949623190614,70
155.27646350860596,201.34081801498135,2.2668676376342773,1.603245822247072,[2.310129700083158e-05],{'alphas': [2.310129700083158e-05]},0.5,0.7755606074882723,0.3078795488835575,0.5278133854572765,0.1919402362756924,69
152.29230642318726,196.1273951984813,2.6112022399902344,2.040678481456372,[2.656087782946684e-05],{'alphas': [2.656087782946684e-05]},0.5,0.7755628759335308,0.30793813993843744,0.5278336719573228,0.19191883423223663,68
149.72372174263,193.5818467355115,1.891878604888916,1.3921519717328261,[3.053855508833412e-05],{'alphas': [3.053855508833412e-05]},0.5,0.7755653210667365,0.3080043115532799,0.5278565442066722,0.19189461464679752,67
151.27378606796265,195.28841635467003,1.9304132461547852,1.3666080611183018,[3.511191734215127e-05],{'alphas': [3.511191734215127e-05]},0.5,0.7755680169828352,0.30808229036084056,0.5278834357812253,0.19186599601813736,66
152.09359304110208,196.65848070767063,2.0487008094787598,1.7374667842558151,[4.037017258596558e-05],{'alphas': [4.037017258596558e-05]},0.5,0.7755717331293389,0.30817102112892003,0.5279142514194196,0.19183371352789644,65
285.14932147661847,198.20397659286985,3.474647601445516,0.9671116926327558,[4.641588833612782e-05],{'alphas': [4.641588833612782e-05]},0.31565341818032233,0.7755760363357965,0.3082599287196924,0.4664964610786037,0.21857310569917812,100
149.38687324523926,203.55591649281666,3.616790453592936,0.8386412687427146,[5.3366992312063123e-05],{'alphas': [5.3366992312063123e-05]},0.3157259262475661,0.7755807356652328,0.7756944363321489,0.6223336994149826,0.21680444054027406,63
142.7184270222982,194.6149435021805,4.176105499267578,1.045629020539969,[6.135907273413175e-05],{'alphas': [6.135907273413175e-05]},0.3158067700858373,0.7755849391284944,0.7756905205650952,0.622360743259809,0.21676639751649862,62
142.652454217275,194.8421519946346,2.751523415247599,0.6658958828450131,[7.054802310718646e-05],{'alphas': [7.054802310718646e-05]},0.3158988406479391,0.7755895757622073,0.7756862568566136,0.6223915577555866,0.21672308224526193,61
5.124064683914185,1.1835979116761095,2.975787798563639,0.22305280031199604,[8.111308307896872e-05],{'alphas': [8.111308307896872e-05]},0.7739502041949667,0.7755952012784638,0.7756806527180409,0.7750753527304904,0.0007963646180717546,13
4.530943393707275,0.4616382293342144,3.074475049972534,0.48103084763619924,[9.326033468832199e-05],{'alphas': [9.326033468832199e-05]},0.7739465847906173,0.7755993733938639,0.7756793094359707,0.7750750892068173,0.0007986401382951421,14
4.798536539077759,0.17635072807475605,2.7417816321055093,0.33979047900689724,[0.00010722672220103231],{'alphas': [0.00010722672220103231]},0.7739558461236093,0.775604044225244,0.7756783511710544,0.7750794138399693,0.0007950612934374235,12
4.517824252446492,0.5841176385431116,2.484246253967285,0.4384098780922715,[0.0001232846739442066],{'alphas': [0.0001232846739442066]},0.7739561432175733,0.7756092650691052,0.7756753651491279,0.7750802578119355,0.0007953269856221645,11
4.102187951405843,0.7860896944619878,2.926487922668457,0.1384093193934701,[0.00014174741629268049],{'alphas': [0.00014174741629268049]},0.7739553433492088,0.7756143377230751,0.77567546496839,0.7750817153468913,0.0007968561321018197,10
4.68250846862793,0.3550307087530337,2.5741472244262695,0.045132846435055,[0.00016297508346206434],{'alphas': [0.00016297508346206434]},0.773963639126818,0.775640892211666,0.7756706394200618,0.7750917235861818,0.000797768610853899,8
